               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079187,            0.040909,            0.047257,             0.50586,             0.36079,             0.43148,             0.16913,            0.042041,            0.013181,            0.038274,            0.070161,           0.0033154,           0.0033154
                   1,            0.055526,             0.03512,            0.041183,             0.45159,             0.55011,             0.43545,              0.1914,            0.039524,            0.011504,            0.032003,            0.040148,           0.0066356,           0.0066356
                   2,            0.052481,            0.032984,            0.035159,             0.41021,             0.47642,             0.40143,             0.16955,            0.035589,            0.012977,            0.023391,            0.010122,           0.0099425,           0.0099425
                   3,            0.050284,            0.032982,            0.030124,             0.50067,              0.4266,             0.37927,             0.14079,            0.041244,            0.013857,            0.028898,           0.0099406,           0.0099406,           0.0099406
                   4,            0.048328,            0.034335,            0.027061,             0.72283,             0.51385,             0.58198,             0.24072,             0.03876,            0.012279,            0.021231,           0.0099406,           0.0099406,           0.0099406
                   5,            0.047358,             0.03323,            0.025087,             0.50475,             0.49528,              0.4759,             0.21887,            0.035102,            0.014785,            0.015444,           0.0099208,           0.0099208,           0.0099208
                   6,            0.046973,             0.03309,            0.023795,             0.68075,             0.58726,             0.61753,              0.2812,            0.036787,             0.01369,            0.013971,            0.009901,            0.009901,            0.009901
                   7,            0.046581,            0.032441,            0.022512,             0.69325,             0.69514,             0.71765,             0.35061,            0.031347,            0.012281,            0.011651,           0.0098812,           0.0098812,           0.0098812
                   8,            0.045417,             0.03209,             0.02001,             0.74365,             0.65802,             0.71226,             0.34946,             0.03415,            0.013218,            0.013173,           0.0098614,           0.0098614,           0.0098614
                   9,            0.044625,             0.03205,            0.019355,             0.62655,             0.60613,             0.62919,             0.28186,            0.036264,            0.013358,            0.017973,           0.0098416,           0.0098416,           0.0098416
                  10,            0.043785,            0.031024,            0.018136,             0.76112,             0.57031,             0.67272,             0.34827,            0.037274,            0.011871,            0.018944,           0.0098218,           0.0098218,           0.0098218
                  11,            0.042967,            0.030511,            0.015846,             0.73473,             0.66405,             0.72558,             0.35978,            0.032227,            0.012876,            0.021641,            0.009802,            0.009802,            0.009802
                  12,            0.042787,            0.030348,            0.016826,             0.55168,             0.62261,             0.58022,             0.26042,            0.039104,            0.011826,            0.015986,           0.0097822,           0.0097822,           0.0097822
                  13,            0.042104,            0.030138,            0.015121,             0.78353,             0.66745,             0.75448,             0.39465,            0.031557,            0.011684,            0.015559,           0.0097624,           0.0097624,           0.0097624
                  14,            0.042078,            0.030219,            0.015004,             0.74596,             0.63841,             0.64343,             0.30752,            0.035972,            0.011607,            0.022351,           0.0097426,           0.0097426,           0.0097426
                  15,            0.041423,            0.030145,            0.013532,             0.75731,             0.61792,             0.67723,             0.31414,            0.033984,            0.011926,            0.020798,           0.0097228,           0.0097228,           0.0097228
                  16,            0.041022,            0.029787,            0.012367,             0.79317,             0.65292,             0.73693,             0.37636,             0.03369,             0.01181,            0.018018,            0.009703,            0.009703,            0.009703
                  17,            0.040672,            0.029633,            0.012896,             0.80082,             0.67472,             0.73223,             0.37937,            0.033343,            0.012034,            0.017064,           0.0096832,           0.0096832,           0.0096832
                  18,            0.039422,            0.029342,            0.012289,             0.76133,             0.61883,             0.71817,             0.38181,             0.03078,            0.012769,            0.012411,           0.0096634,           0.0096634,           0.0096634
                  19,            0.039686,            0.029042,            0.010841,              0.7447,             0.74904,             0.75421,             0.39711,             0.03259,            0.012256,            0.010936,           0.0096436,           0.0096436,           0.0096436
                  20,            0.038951,            0.028312,            0.011686,             0.77442,             0.71172,             0.73196,             0.39454,            0.032785,             0.01207,            0.011447,           0.0096238,           0.0096238,           0.0096238
                  21,            0.038845,            0.028627,            0.010543,             0.80382,             0.65562,             0.73789,             0.39559,            0.032215,            0.011988,            0.021419,            0.009604,            0.009604,            0.009604
                  22,            0.038442,            0.028582,           0.0098768,             0.75553,             0.75695,             0.79153,              0.4111,            0.031211,            0.011705,           0.0088759,           0.0095842,           0.0095842,           0.0095842
                  23,            0.037731,            0.027745,           0.0091417,             0.67494,             0.67992,             0.67995,             0.35489,            0.030906,            0.012126,            0.011275,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037954,            0.027262,           0.0092501,             0.73278,              0.7159,             0.76463,             0.39378,            0.032165,            0.012587,            0.011091,           0.0095446,           0.0095446,           0.0095446
                  25,            0.037214,            0.026413,           0.0090536,             0.73787,             0.74292,              0.7531,             0.40051,            0.031679,             0.01197,           0.0091138,           0.0095248,           0.0095248,           0.0095248
                  26,            0.036863,            0.027356,           0.0094893,             0.78008,             0.70144,             0.76846,             0.39003,            0.032252,            0.011862,            0.010032,            0.009505,            0.009505,            0.009505
                  27,            0.036727,            0.026666,            0.008463,             0.84841,             0.72341,             0.80262,             0.41535,            0.031031,            0.012269,           0.0071525,           0.0094852,           0.0094852,           0.0094852
                  28,            0.036289,            0.026187,            0.008174,             0.77953,             0.76415,             0.79158,             0.40898,            0.032375,            0.011914,           0.0084953,           0.0094654,           0.0094654,           0.0094654
                  29,            0.035982,            0.026345,           0.0079237,             0.81456,             0.68037,             0.75653,             0.42961,             0.03125,            0.012745,            0.012993,           0.0094456,           0.0094456,           0.0094456
                  30,            0.035274,            0.026147,           0.0078637,             0.78187,             0.68909,             0.75644,             0.39459,            0.030511,            0.011749,             0.01203,           0.0094258,           0.0094258,           0.0094258
                  31,            0.035294,            0.025847,           0.0081028,             0.73555,             0.73524,             0.76204,              0.3926,            0.030096,             0.01236,           0.0081601,            0.009406,            0.009406,            0.009406
                  32,             0.03528,            0.025542,           0.0078422,             0.75578,             0.70498,             0.73456,             0.35446,            0.032243,            0.012276,            0.013168,           0.0093862,           0.0093862,           0.0093862
                  33,            0.034156,            0.025395,           0.0070586,             0.78146,             0.76651,              0.7843,             0.43003,            0.031459,            0.011495,           0.0091391,           0.0093664,           0.0093664,           0.0093664
                  34,            0.033933,            0.025211,           0.0072351,             0.75258,             0.64151,             0.66491,             0.35048,            0.034213,             0.01264,            0.016773,           0.0093466,           0.0093466,           0.0093466
                  35,             0.03416,            0.025201,           0.0065404,             0.74165,             0.75943,             0.77681,             0.42206,            0.030747,             0.01212,           0.0080897,           0.0093268,           0.0093268,           0.0093268
                  36,            0.033907,             0.02447,           0.0070201,             0.80182,             0.63867,             0.72075,             0.37051,            0.033288,            0.012304,            0.018719,            0.009307,            0.009307,            0.009307
                  37,            0.033845,            0.024804,            0.006463,             0.74716,             0.70094,             0.72402,             0.37482,            0.032313,            0.011986,            0.011552,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033906,            0.024157,            0.006951,             0.72884,             0.69846,             0.70472,             0.37479,            0.031025,            0.011995,             0.01534,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033167,            0.024561,            0.006378,             0.79617,             0.68396,             0.73824,             0.38262,            0.032479,            0.012429,            0.018294,           0.0092476,           0.0092476,           0.0092476
                  40,            0.033021,            0.023968,           0.0069267,             0.72613,              0.6934,             0.71993,             0.38721,            0.031353,            0.012223,            0.011593,           0.0092278,           0.0092278,           0.0092278
                  41,            0.032986,            0.024309,           0.0062352,             0.82318,             0.75271,             0.78608,             0.41724,            0.029776,            0.012088,            0.008607,            0.009208,            0.009208,            0.009208
                  42,            0.032444,            0.024215,           0.0059086,             0.73812,             0.74437,             0.76512,             0.40751,            0.030193,            0.011953,           0.0082958,           0.0091882,           0.0091882,           0.0091882
                  43,            0.032644,            0.023596,           0.0059711,             0.81275,             0.75629,              0.7865,             0.43623,            0.030936,            0.012871,            0.013704,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032052,            0.024066,           0.0056958,             0.82497,             0.69511,              0.7748,             0.41857,            0.030033,            0.012355,            0.011191,           0.0091486,           0.0091486,           0.0091486
                  45,             0.03167,            0.022878,           0.0056599,             0.81297,             0.70732,             0.76256,             0.41435,            0.031725,            0.013134,            0.010101,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031564,            0.023107,           0.0050878,             0.81117,             0.74305,             0.77363,             0.41202,             0.03129,            0.012674,           0.0070766,            0.009109,            0.009109,            0.009109
                  47,            0.032094,            0.023191,           0.0057213,             0.73263,             0.72999,             0.73598,             0.39354,            0.029877,            0.013002,           0.0086632,           0.0090892,           0.0090892,           0.0090892
                  48,            0.031328,            0.023459,           0.0055259,             0.77941,             0.74528,             0.76969,             0.42285,            0.030034,            0.012782,            0.011604,           0.0090694,           0.0090694,           0.0090694
                  49,            0.031085,            0.022927,           0.0056403,             0.77216,             0.73821,             0.76218,             0.43579,             0.02933,            0.012259,           0.0087408,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03119,            0.022646,           0.0058805,             0.83123,             0.64458,               0.743,             0.41195,            0.031688,             0.01263,            0.017096,           0.0090298,           0.0090298,           0.0090298
                  51,            0.030879,            0.022723,           0.0053601,             0.79952,             0.71315,             0.77075,             0.41574,            0.031469,            0.012616,            0.010299,             0.00901,             0.00901,             0.00901
                  52,            0.030814,            0.022598,           0.0053485,             0.81606,             0.67625,              0.7332,             0.41247,            0.032999,            0.012856,            0.013266,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031324,            0.022126,           0.0051659,             0.79999,              0.7503,             0.76712,             0.43236,            0.032392,            0.012768,           0.0092218,           0.0089704,           0.0089704,           0.0089704
                  54,            0.030827,            0.022146,           0.0053958,             0.81238,             0.70283,             0.73407,             0.39789,            0.031388,            0.013612,            0.010927,           0.0089506,           0.0089506,           0.0089506
                  55,            0.030045,            0.022091,           0.0054423,             0.81338,             0.70146,             0.76291,             0.42839,            0.032056,            0.013282,            0.011563,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030374,            0.022015,           0.0049867,             0.81644,             0.69811,             0.75506,             0.41124,            0.031329,            0.013409,           0.0092621,            0.008911,            0.008911,            0.008911
                  57,            0.030021,            0.021838,           0.0053658,             0.79156,             0.71322,             0.75118,             0.41703,            0.030613,             0.01254,            0.010438,           0.0088912,           0.0088912,           0.0088912
                  58,            0.030051,            0.022175,           0.0052467,             0.76239,             0.67217,             0.73368,             0.41213,            0.032261,            0.014008,            0.015896,           0.0088714,           0.0088714,           0.0088714
